hostname,ip_address,position,model,serial_number,port_location,vendor,notes
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Chassis,WS-CBS3130X-S,FOC1420H01S,,Cisco,
,,Module,800-27645-02,FDO141815M2,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14181F25,Switch 1 - Slot 2 - TwinGig Converter Module,,
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Chassis,WS-CBS3130X-S,FOC1437H010,,Cisco,
,,Module,800-27645-02,FDO14340BUE,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AJT,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-ENC1-B.dtc_phx.com,10.101.255.119,Chassis,WS-CBS3130X-S,FOC1420H012,,Cisco,
,,Module,800-27645-02,FDO141813Y8,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141814P2,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R16-Enc1-A.dtc_phx.com,10.101.255.118,Chassis,WS-CBS3130X-S,FOC1437H012,,Cisco,
,,Module,800-27645-02,FDO14340A8H,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AFL,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-B.dtc_phx.com,10.101.255.117,Chassis,WS-CBS3130X-S,FOC1420H01Z,,Cisco,
,,Module,800-27645-02,FDO141816DL,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141816MQ,Switch 1 - Slot 2 - TwinGig Converter Module,,
AL-3130-R3-ENC2-A.dtc_phx.com,10.101.255.115,Chassis,WS-CBS3130X-S,FOC1420H01R,,Cisco,
,,Module,800-27645-02,FDO14181E8Y,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO141800PJ,Switch 1 - Slot 2 - TwinGig Converter Module,,
MDF-3130-I9-StackA,10.0.255.51,Chassis,WS-CBS3130X-S-F,FOC1217H0FC,,Cisco,
,,FEX-1,WS-CBS3130X-S,FOC1414H06C,2,Cisco,
,,FEX-2,WS-CBS3130X-S-F,FOC1445H03L,3,Cisco,
,,Module,800-27645-01,FDO12120A23,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-01,FDO12120A7L,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO140403PA,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO1404072D,Switch 2 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO143319D1,Switch 3 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340B30,Switch 3 - Slot 2 - TwinGig Converter Module,,
MDF-3130-I9-StackB,10.0.255.52,Chassis,WS-CBS3130X-S,FOC1934Q01N,,Cisco,
,,FEX-1,WS-CBS3130X-S-F,FOC1402H02Y,2,Cisco,
,,FEX-2,WS-CBS3130X-S,FOC1934Q012,3,Cisco,
,,Module,800-27645-03,FDO18501G0E,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-03,FDO18501G7N,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO134708SX,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO13430JEY,Switch 2 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-03,FDO18471WB7,Switch 3 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-03,FDO18471WBB,Switch 3 - Slot 2 - TwinGig Converter Module,,
MDF-3130-O3-ENC1-B,10.0.255.47,Chassis,WS-CBS3130X-S-F,FOC1216H09U,,Cisco,
,,Module,800-27645-02,FDO13180593,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO1318067T,Switch 1 - Slot 2 - TwinGig Converter Module,,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,Chassis,WS-C3750-48PS-S,FDO1239X2T5,,Cisco,
,,FEX-1,WS-C3750-48PS-S,FDO1239X2Q6,2,Cisco,
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Chassis,WS-CBS3130X-S-F,FOC1518H098,,Cisco,
,,FEX-1,WS-CBS3130X-S-F,FOC1616H02D,2,Cisco,
,,Module,800-27645-02,FDO151512MP,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO151615AS,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020CYM,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020CWS,Switch 2 - Slot 2 - TwinGig Converter Module,,
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Chassis,WS-CBS3130X-S-F,FOC1518H047,,Cisco,
,,FEX-1,WS-CBS3130X-S-F,FOC1616H02L,2,Cisco,
,,Module,800-27645-02,FDO151615AP,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO151614LG,Switch 1 - Slot 2 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020N9T,Switch 2 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO16020N8S,Switch 2 - Slot 2 - TwinGig Converter Module,,
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,Chassis,WS-C3750-48PS-S,CAT0847R1TZ,,Cisco,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Chassis,WS-C3750-48PS-S,FDO1239X2T6,,Cisco,
,,FEX-1,WS-C3750-48PS-S,FDO1239X2T0,2,Cisco,
,,FEX-2,WS-C3750-48PS-S,FDO1239X2PZ,3,Cisco,
,,FEX-3,WS-C3750-48PS-S,FDO1421X2Z7,4,Cisco,
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,Chassis,WS-C3750-48PS-S,FDO1239X2TA,,Cisco,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,Chassis,WS-C3750V2-48PS-S,FDO1738Y16S,,Cisco,
,,FEX-1,WS-C3750V2-48PS-S,FDO1738Y19V,2,Cisco,
,,FEX-2,WS-C3750V2-48PS-S,FDO1738Y02E,3,Cisco,
IDF1A-4510.trtc.com,10.0.255.121,Chassis,WS-C4510R+E,FXS1937Q20A,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1944L6DD,Linecard(slot 1),,
,,Module,WS-X4648-RJ45V+E,JAE193901BA,Linecard(slot 2),,
,,Module,WS-X4648-RJ45V+E,JAE193903GW,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE19390160,Linecard(slot 4),,
IDF1B-4510-SW1.trtc.com,10.0.255.123,Chassis,WS-C4510R+E,FXS1937Q21S,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1944L0AJ,Linecard(slot 1),,
,,Module,WS-X4648-RJ45V+E,JAE19390156,Linecard(slot 2),,
,,Module,WS-X4648-RJ45V+E,JAE193809KY,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE193809EC,Linecard(slot 4),,
,,Module,WS-X4648-RJ45V+E,JAE1939017W,Linecard(slot 7),,
,,Module,WS-X4648-RJ45V+E,JAE1939015R,Linecard(slot 8),,
,,Module,WS-X4648-RJ45V+E,JAE193901EB,Linecard(slot 9),,
,,Module,WS-X4748-RJ45V+E,CAT1944L1KU,Linecard(slot 10),,
IDF1B-4510-SW2.trtc.com,10.0.255.124,Chassis,WS-C4510R+E,FXS2002Q1HM,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1950L6QP,Linecard(slot 1),,
,,Module,WS-X4748-RJ45V+E,CAT1950L6VV,Linecard(slot 2),,
,,Module,WS-X4748-RJ45V+E,CAT1944L66H,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE193901FH,Linecard(slot 4),,
IDF1C-9410-SW.trtc.com,10.0.255.61,Chassis,C9410R,FXS2232Q00R,,Cisco,
,,Module,C9400-LC-48P,JAE22310F8W,Slot 1 Linecard,,
,,Module,C9400-LC-48P,JAE22320JRF,Slot 2 Linecard,,
,,Module,C9400-LC-48P,JAE22380JCT,Slot 3 Linecard,,
,,Module,C9400-LC-48P,JAE22380SPT,Slot 4 Linecard,,
,,Module,C9400-SUP-1XL,JAE223409C3,Slot 5 Supervisor,,
,,Module,C9400-SUP-1XL,JAE223409DL,Slot 6 Supervisor,,
,,Module,C9400-LC-48P,JAE22380TBN,Slot 7 Linecard,,
,,Module,C9400-LC-48P,JAE22380SPS,Slot 8 Linecard,,
,,Module,C9400-LC-48P,JAE22380SLE,Slot 9 Linecard,,
,,Module,C9400-LC-48P,JAD2350022B,Slot 10 Linecard,,
IDF2B-9410-SW.trtc.com,10.0.255.125,Chassis,C9410R,FXS2230Q254,,Cisco,
,,Module,C9400-LC-48P,JAE22340958,Slot 1 Linecard,,
,,Module,C9400-LC-48P,JAE2234096L,Slot 2 Linecard,,
,,Module,C9400-LC-48P,JAE22380SK8,Slot 3 Linecard,,
,,Module,C9400-LC-48P,JAE22380TC2,Slot 4 Linecard,,
,,Module,C9400-SUP-1XL,JAE22320FZP,Slot 5 Supervisor,,
,,Module,C9400-SUP-1XL,JAE223409FB,Slot 6 Supervisor,,
,,Module,C9400-LC-48P,JAE22380SKZ,Slot 7 Linecard,,
,,Module,C9400-LC-48P,JAE22380TBC,Slot 8 Linecard,,
,,Module,C9400-LC-48P,JAE22380SWG,Slot 9 Linecard,,
,,Module,C9400-LC-48P,JAE22391H9L,Slot 10 Linecard,,
IDF2C-9410-SW.trtc.com,10.0.255.62,Chassis,C9410R,FXS2232Q05J,,Cisco,
,,Module,C9400-LC-48P,JAE2234094V,Slot 1 Linecard,,
,,Module,C9400-LC-48P,JAE22320JPH,Slot 2 Linecard,,
,,Module,C9400-LC-48P,JAE22391K82,Slot 3 Linecard,,
,,Module,C9400-LC-48P,JAE22380TBZ,Slot 4 Linecard,,
,,Module,C9400-SUP-1XL,JAE222906C8,Slot 5 Supervisor,,
,,Module,C9400-SUP-1XL,JAE223108EB,Slot 6 Supervisor,,
,,Module,C9400-LC-48P,JAE22380SKF,Slot 7 Linecard,,
aladasa06a,10.101.255.35,Chassis,DCS-7050SX3-48YC8,JPA2314P1UM,,Cisco,
IDF2A-4510.trtc.com,10.0.255.122,Chassis,WS-C4510R+E,FXS1937Q20J,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1943LAMS,Linecard(slot 1),,
,,Module,WS-X4648-RJ45V+E,JAE1939016A,Linecard(slot 2),,
,,Module,WS-X4648-RJ45V+E,JAE193903H5,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE1939015U,Linecard(slot 4),,
,,Module,WS-X4648-RJ45V+E,JAE1939017X,Linecard(slot 7),,
,,Module,WS-X4648-RJ45V+E,JAE19390171,Linecard(slot 8),,
,,Module,WS-X4648-RJ45V+E,JAE193809FA,Linecard(slot 9),,
,,Module,WS-X4748-RJ45V+E,CAT1944L0JX,Linecard(slot 10),,
aladasa06b,10.101.255.36,Chassis,DCS-7050SX3-48YC8,JPA2313P3HE,,Cisco,
aladasa08a,10.101.255.37,Chassis,DCS-7050SX3-48YC8,JPA2314P1V5,,Cisco,
cordaso12a,10.0.255.115,Chassis,DCS-7050SX3-48YC8,JPA2314P1VK,,Cisco,
aladasa08b,10.101.255.38,Chassis,DCS-7050SX3-48YC8,JPA2314P1V7,,Cisco,
cordaso12b,10.0.255.116,Chassis,DCS-7050SX3-48YC8,JPA2314P1SG,,Cisco,
cordasq12a,10.0.255.117,Chassis,DCS-7050SX3-48YC8,JPA2314P1S8,,Cisco,
cordasq12b,10.0.255.118,Chassis,DCS-7050SX3-48YC8,JMX2319A6E6,,Cisco,
AL-MPLS-R1.dtc_phx.com,10.101.100.106,Chassis,C8300-1N1S-4T2X,FLM274610LV,,Cisco,
,,Module,C8300-1N1S-4T2X,,module 0,,
,,Module,C8300-1N1S-4T2X,FDO27410DQF,module R0,,
HQ-MPLS-R1.dtc_phx.com,10.0.100.106,Chassis,C8300-1N1S-4T2X,FLM274610LT,,Cisco,
,,Module,C8300-1N1S-4T2X,,module 0,,
,,Module,C8300-1N1S-4T2X,FDO27410DPX,module R0,,
HQ-7000-01-CORE,10.0.100.194,Chassis,N7K-C7010,TBM13322374,,Cisco,"Consolidated from: HQ-7000-01-CORE.dtc_phx.com, HQ-7000-01-PCI.dtc_phx.com, HQ-7000-01-CORE.dtc_phx.com, HQ-7000-01-ADMIN, HQ-7000-01-EDGE"
,,Module,N7K-F312FQ-25,JAE191207AK,10/40 Gbps Ethernet Module,,
,,Module,N7K-SUP2E,JAF1825AQAN,Supervisor Module-2,,
,,Module,N7K-SUP2E,JAF1827ARNH,Supervisor Module-2,,
,,Module,N7K-F312FQ-25,JAE184905NJ,10/40 Gbps Ethernet Module,,
,,Module,N7K-F312FQ-25,JAE182305KD,10/40 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAF1827AHFJ,1/10 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAF1827AHET,1/10 Gbps Ethernet Module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANTQ,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1812ALPP,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANTN,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANPG,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANRL,Fabric card module,,
HQ-7000-02-CORE,10.0.100.210,Chassis,N7K-C7010,JAF1429DSFM,,Cisco,"Consolidated from: HQ-7000-02-CORE.dtc_phx.com, HQ-7000-02-EDGE.dtc_phx.com, HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-EDGE.dtc_phx.com, HQ-7000-02-ADMIN"
,,Module,N7K-F312FQ-25,JAE191207AJ,10/40 Gbps Ethernet Module,,
,,Module,N7K-SUP2E,JAF1827ARRJ,Supervisor Module-2,,
,,Module,N7K-SUP2E,JAF1827ASAR,Supervisor Module-2,,
,,Module,N7K-F312FQ-25,JAE182305LE,10/40 Gbps Ethernet Module,,
,,Module,N7K-F312FQ-25,JAE182305MB,10/40 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAF1827AHDM,1/10 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAF1827AHFT,1/10 Gbps Ethernet Module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANMR,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANRQ,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANRM,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1827ANPS,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANNG,Fabric card module,,
Alameda-Rack3-3750-Stack,10.101.255.101,Chassis,WS-C3750G-48TS-S,FOC1306W6AH,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1250W6L0,2,Cisco,
Alameda-Rack4-3750-Stack.dtc_phx.com,10.101.255.102,Chassis,WS-C3750G-48TS-S,FOC1306W4BG,,Cisco,
AL-Rack2-2960-01.dtc_phx.com,10.101.255.29,Chassis,WS-C2960-48TT-L,FOC1324V4A3,,Cisco,
Alameda-Rack5-3750-Stack.dtc_phx.com,10.101.255.105,Chassis,WS-C3750G-48TS-E,FOC1050Y671,,Cisco,
MDF-3750-I9-SwA.dtc_phx.com,10.0.255.53,Chassis,WS-C3750G-48TS-S,FOC1435Y2M3,,Cisco,
MDF-3750-I9-SwB.dtc_phx.com,10.0.255.54,Chassis,WS-C3750G-48TS-S,FOC1306W6A0,,Cisco,
MDF-3750-L3.dtc_phx.com,10.0.255.46,Chassis,WS-C3750G-48TS-E,FOC1044Y017,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1435Y2KE,2,Cisco,
MDF-3750-Stk-J9.dtc_phx.com,10.0.255.36,Chassis,WS-C3750G-48TS-S,FOC1107Y3ZW,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1107Y40V,2,Cisco,
Alameda-Rack4-3750-A.dtc_phx.com,10.101.255.103,Chassis,WS-C3750G-48TS-S,FOC1411Y8FB,,Cisco,
MDF-3750-Stk-M9.dtc_phx.com,10.0.255.39,Chassis,WS-C3750G-48TS-S,FOC1104Y2RY,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1104Y2R4,2,Cisco,
MDF-3750-Stk-N9.dtc_phx.com,10.0.255.42,Chassis,WS-C3750G-48TS-S,FOC1139Y21T,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1138Y0A9,2,Cisco,
MDF-3750-Stk-O9.dtc_phx.com,10.0.255.43,Chassis,WS-C3750G-48TS-S,FOC1138Y0A4,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1139Y21R,2,Cisco,
MDF-3750-Stk-P9.dtc_phx.com,10.0.255.44,Chassis,WS-C3750G-48TS-S,FOC1139Y225,,Cisco,
,,FEX-1,WS-C3750G-48TS-S,FOC1138Y0AG,2,Cisco,
Alameda-IDFA-VG224,10.101.14.21,Chassis,VG224,FHK1242F1UG,,Cisco,
Alameda-IDFB-VG224.trtc.com,10.101.14.22,Chassis,VG224,FHK1335F2S8,,Cisco,
Alameda-IDFC-VG224,10.101.14.23,Chassis,VG224,FHK1242F1UF,,Cisco,
Alameda-IDFD-VG224,10.101.14.24,Chassis,VG224,FHK1242F1UH,,Cisco,
Alameda-IDFE-VG224,10.101.14.25,Chassis,VG224,FHK1242F1UJ,,Cisco,
Alameda-MDF-VG224,10.101.14.26,Chassis,VG224,FGL1449104B,,Cisco,
Asset-SW8-2960.trtc.com,10.101.108.17,Chassis,WS-C2960S-48TS-S,FOC1717W5HQ,,Cisco,
CFG_03_SW.trtc.com,10.101.255.124,Chassis,WS-C2960S-24TS-S,FOC1621W5PW,,Cisco,
CFG_04_SW.dtc_phx.com,10.101.108.21,Chassis,WS-C3750G-48TS-S,FOC1230Y0RB,,Cisco,
IDF-A-2960X-SecCam.dtc_phx.com,10.101.255.10,Chassis,WS-C2960X-24PS-L,FOC2117S06X,,Cisco,
IDF-B-2960X-SecCam.dtc_phx.com,10.101.255.11,Chassis,WS-C2960X-24PS-L,FCW2117B2BR,,Cisco,
IDF-C-2960X-SecCam.dtc_phx.com,10.101.255.12,Chassis,WS-C2960X-24PS-L,FCW2117B2B7,,Cisco,
IDF-D-2960CX-SecCam.dtc_phx.com,10.101.255.13,Chassis,WS-C2960CX-8PC-L,FOC2122Z0VF,,Cisco,
IDF-E-2960CX-SecCam.dtc_phx.com,10.101.255.14,Chassis,WS-C2960CX-8PC-L,FOC2121Z5BM,,Cisco,
SVALTOR,10.101.100.138,Chassis,WS-C3750G-24TS-S1U,FOC1417Y1BH,,Cisco,
,,FEX-1,WS-C3750G-24TS-S1U,FOC1414Z66M,2,Cisco,
svgw3.dtc_phx.com,10.101.99.254,Chassis,CISCO3945-CHASSIS,FTX1714AJPG,,Cisco,
,,Module,C3900-SPE250/K9,FOC1712123E,Cisco Services Performance Engine 250 for Cisco 3900 ISR on Slot 0,,
,,Module,PVDM3-64,FOC17114L7Z,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 3,,
svxcode2.dtc_phx.com,10.101.99.205,Chassis,CISCO3945-CHASSIS,FTX1431AKK8,,Cisco,
,,Module,C3900-SPE150/K9,FOC14304JQL,Cisco Services Performance Engine 150 for Cisco 3900 ISR on Slot 0,,
,,Module,PVDM3-256,FOC17440HHQ,PVDM3 DSP DIMM with 256 Channels on Slot 0 SubSlot 4,,
svxgw3.dtc_phx.com,10.101.99.200,Chassis,CISCO3945-CHASSIS,FTX1434A166,,Cisco,
,,Module,C3900-SPE150/K9,FOC14304KEK,Cisco Services Performance Engine 150 for Cisco 3900 ISR on Slot 0,,
,,Module,PVDM3-64,FOC143221FG,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 4,,
svxgw4.dtc_phx.com,10.101.99.201,Chassis,CISCO3945-CHASSIS,FTX1434A169,,Cisco,
,,Module,C3900-SPE150/K9,FOC14300RQW,Cisco Services Performance Engine 150 for Cisco 3900 ISR on Slot 0,,
,,Module,PVDM3-64,FOC16347YRK,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 4,,
2960-CX-Series-NOC.dtc_phx.com,10.0.255.10,Chassis,WS-C2960CX-8PC-L,FOC2007W393,,Cisco,
IDF-2C-2960CX-SecCam.dtc_phx.com,10.0.255.9,Chassis,WS-C2960CX-8PC-L,FOC2122Z0XA,,Cisco,
IDFCNF-3750-Stack.dtc_phx.com,10.0.255.66,Chassis,WS-C3750-48PS-S,FDO1122Z5B9,,Cisco,
,,FEX-1,WS-C3750-48PS-S,FDO1122Z5DV,2,Cisco,
IDFHQ-3750-TestLab.trtc.com,10.0.255.84,Chassis,WS-C3750-48PS-S,FDO1122Z5DR,,Cisco,
MDF-3130-O3-ENC1-A,10.0.255.93,Chassis,WS-CBS3130X-S-F,FOC1216H09K,,Cisco,
,,Module,800-27645-02,FDO131905PY,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO131908ZG,Switch 1 - Slot 2 - TwinGig Converter Module,,
svgw1.dtc_phx.com,10.0.99.254,Chassis,CISCO3945-CHASSIS,FTX1714AJPE,,Cisco,
,,Module,C3900-SPE250/K9,FOC171211ZD,Cisco Services Performance Engine 250 for Cisco 3900 ISR on Slot 0,,
,,Module,PVDM3-64,FOC17114L7M,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 3,,
SVHQTOR.DTC_PHX.COM.trtc.com,10.0.100.138,Chassis,WS-C3750G-48TS-S,FOC1104Y2P4,,Cisco,
