site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes
AZ-Scottsdale-HQ-Corp,MDF-3130-I9-StackA,10.0.255.51,Master,WS-CBS3130X-S-F,FOC1217H0FC,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S,FOC1414H06C,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S-F,FOC1445H03L,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-01,FDO12120A23,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-01,FDO12120A7L,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO140403PA,Switch 2 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO1404072D,Switch 2 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO143319D1,Switch 3 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO14340B30,Switch 3 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,MDF-3130-I9-StackB,10.0.255.52,Master,WS-CBS3130X-S,FOC1934Q01N,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S-F,FOC1402H02Y,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S,FOC1934Q012,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18501G0E,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18501G7N,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO134708SX,Switch 2 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO13430JEY,Switch 2 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18471WB7,Switch 3 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-03,FDO18471WBB,Switch 3 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,MDF-3130-O3-ENC1-B,10.0.255.47,Standalone,WS-CBS3130X-S-F,FOC1216H09U,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO13180593,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO1318067T,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Master,WS-CBS3130X-S-F,FOC1518H098,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S-F,FOC1616H02D,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO151512MP,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO151615AS,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO16020CYM,Switch 2 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO16020CWS,Switch 2 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Master,WS-CBS3130X-S-F,FOC1518H047,,,
AZ-Scottsdale-HQ-Corp,,,Slave,WS-CBS3130X-S-F,FOC1616H02L,,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO151615AP,Switch 1 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO151614LG,Switch 1 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO16020N9T,Switch 2 - Slot 1 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,,,Module,800-27645-02,FDO16020N8S,Switch 2 - Slot 2 - TwinGig Converter Module,,
AZ-Scottsdale-HQ-Corp,IDF1A-4510.trtc.com,10.0.255.121,Standalone,WS-C4510R+E,FXS1937Q20A,,,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L6DD,Linecard(slot 1),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193901BA,Linecard(slot 2),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193903GW,Linecard(slot 3),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE19390160,Linecard(slot 4),,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT1944L38J,Supervisor(slot 5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,JUR18410YL8,TenGigabitEthernet5/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS17251XE9,TenGigabitEthernet5/3,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,JUR184002YT,TenGigabitEthernet6/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS17251XDJ,TenGigabitEthernet6/3,,
AZ-Scottsdale-HQ-Corp,IDF1B-4510-SW1.trtc.com,10.0.255.123,Standalone,WS-C4510R+E,FXS1937Q21S,,,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L0AJ,Linecard(slot 1),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE19390156,Linecard(slot 2),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193809KY,Linecard(slot 3),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193809EC,Linecard(slot 4),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE1939017W,Linecard(slot 7),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE1939015R,Linecard(slot 8),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193901EB,Linecard(slot 9),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L1KU,Linecard(slot 10),,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT2012L3UB,Supervisor(slot 5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230TWN,TenGigabitEthernet5/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230BHT,TenGigabitEthernet5/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT1944L2Z4,Supervisor(slot 6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS2023060F,TenGigabitEthernet6/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230BJ8,TenGigabitEthernet6/2,,
AZ-Scottsdale-HQ-Corp,IDF1B-4510-SW2.trtc.com,10.0.255.124,Standalone,WS-C4510R+E,FXS2002Q1HM,,,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1950L6QP,Linecard(slot 1),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1950L6VV,Linecard(slot 2),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L66H,Linecard(slot 3),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193901FH,Linecard(slot 4),,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT1944L358,Supervisor(slot 5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,AVD2123AN22,TenGigabitEthernet5/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,AVD2123AN1R,TenGigabitEthernet5/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT2023L1L8,Supervisor(slot 6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,AVD2123AG2A,TenGigabitEthernet6/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS21250ERR,TenGigabitEthernet6/2,,
AZ-Scottsdale-HQ-Corp,IDF1C-9410-SW.trtc.com,10.0.255.61,Standalone,C9410R,FXS2232Q00R,,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22310F8W,Slot 1 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22320JRF,Slot 2 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380JCT,Slot 3 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SPT,Slot 4 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-SUP-1XL,JAE223409C3,Slot 5 Supervisor,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-SUP-1XL,JAE223409DL,Slot 6 Supervisor,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380TBN,Slot 7 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SPS,Slot 8 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SLE,Slot 9 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAD2350022B,Slot 10 Linecard,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222205LM,TenGigabitEthernet5/0/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS22211BPF,TenGigabitEthernet5/0/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222205KV,TenGigabitEthernet6/0/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,SPC141103D9,TenGigabitEthernet6/0/2,,
AZ-Scottsdale-HQ-Corp,IDF2B-9410-SW.trtc.com,10.0.255.125,Standalone,C9410R,FXS2230Q254,,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22340958,Slot 1 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE2234096L,Slot 2 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SK8,Slot 3 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380TC2,Slot 4 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-SUP-1XL,JAE22320FZP,Slot 5 Supervisor,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-SUP-1XL,JAE223409FB,Slot 6 Supervisor,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SKZ,Slot 7 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380TBC,Slot 8 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SWG,Slot 9 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22391H9L,Slot 10 Linecard,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222205KK,TenGigabitEthernet5/0/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS22211AC5,TenGigabitEthernet5/0/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222202WN,TenGigabitEthernet6/0/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS22211BP1,TenGigabitEthernet6/0/2,,
AZ-Scottsdale-HQ-Corp,IDF2C-9410-SW.trtc.com,10.0.255.62,Standalone,C9410R,FXS2232Q05J,,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE2234094V,Slot 1 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22320JPH,Slot 2 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22391K82,Slot 3 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380TBZ,Slot 4 Linecard,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-SUP-1XL,JAE222906C8,Slot 5 Supervisor,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-SUP-1XL,JAE223108EB,Slot 6 Supervisor,,
AZ-Scottsdale-HQ-Corp,,,Module,C9400-LC-48P,JAE22380SKF,Slot 7 Linecard,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS2222092R,TenGigabitEthernet5/0/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222205P0,TenGigabitEthernet5/0/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222206FS,TenGigabitEthernet6/0/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS222205NG,TenGigabitEthernet6/0/2,,
AZ-Scottsdale-HQ-Corp,IDF2A-4510.trtc.com,10.0.255.122,Standalone,WS-C4510R+E,FXS1937Q20J,,,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1943LAMS,Linecard(slot 1),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE1939016A,Linecard(slot 2),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193903H5,Linecard(slot 3),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE1939015U,Linecard(slot 4),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE1939017X,Linecard(slot 7),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE19390171,Linecard(slot 8),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193809FA,Linecard(slot 9),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L0JX,Linecard(slot 10),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS17251XEG,TenGigabitEthernet5/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS17251FZ8,TenGigabitEthernet5/3,,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT1944L33U,Supervisor(slot 6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230BJ7,TenGigabitEthernet6/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS17251XE4,TenGigabitEthernet6/3,,
AZ-Scottsdale-HQ-Corp,cordaso12a,10.0.255.115,Standalone,DCS-7050SX3-48YC8,JPA2314P1VK,,,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40GSR4-AN-L,USW1000001025820,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH225102097,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH230301157,"""""",,
AZ-Scottsdale-HQ-Corp,cordaso12b,10.0.255.116,Standalone,DCS-7050SX3-48YC8,JPA2314P1SG,,,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40GSR4-AN-L,USW1000001025819,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH230301155,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH230301166,"""""",,
AZ-Scottsdale-HQ-Corp,cordasq12a,10.0.255.117,Standalone,DCS-7050SX3-48YC8,JPA2314P1S8,,,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40GSR4-AN-L,USW1000001025818,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH225100626,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH225100604,"""""",,
AZ-Scottsdale-HQ-Corp,cordasq12b,10.0.255.118,Standalone,DCS-7050SX3-48YC8,JMX2319A6E6,,,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40GSR4-AN-L,USW1000001025817,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH225100629,"""""",,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-100G-SR4,XMH225100614,"""""",,
AZ-Scottsdale-HQ-Corp,HQ-MPLS-R1.dtc_phx.com,10.0.100.106,Standalone,C8300-1N1S-4T2X,FLM274610LT,,,
AZ-Scottsdale-HQ-Corp,,,Module,C8300-1N1S-4T2X,FDO27410DPX,module R0,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-GE-L,FNS13290RA9,subslot 0/0 transceiver 4,,
AZ-Scottsdale-HQ-Corp,,,SFP,GLC-SX-MMD,AGA1747RGCF,subslot 0/0 transceiver 5,,
AZ-Scottsdale-HQ-Corp,HQ-7000-01-CORE,10.0.100.194,Standalone,N7K-C7010,TBM13322374,,Cisco,"VDCs: ADMIN, CORE, EDGE, PCI"
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F312FQ-25,JAE191207AK,10/40 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-SUP2E,JAF1825AQAN,Supervisor Module-2,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-SUP2E,JAF1827ARNH,Supervisor Module-2,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F312FQ-25,JAE184905NJ,10/40 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F312FQ-25,JAE182305KD,10/40 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F248XP-25E,JAF1827AHFJ,1/10 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F248XP-25E,JAF1827AHET,1/10 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANTQ,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1812ALPP,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANTN,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANPG,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANRL,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,AVP2016S0AD,Transceiver(slot:1-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR-BD,AVM1843U629,Transceiver(slot:1-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,AVP2017S04R,Transceiver(slot:1-port:3),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,JFQ2021209A,Transceiver(slot:1-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,AVP1939S2PV,Transceiver(slot:1-port:7),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,AVP1938S242,Transceiver(slot:1-port:9),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,JFQ202020E6,Transceiver(slot:1-port:11),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR-BD,AVM1827S3DX,Transceiver(slot:7-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR-BD,AVM1827S151,Transceiver(slot:7-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR-BD,AVM1827S0Y0,Transceiver(slot:7-port:3),,
AZ-Scottsdale-HQ-Corp,HQ-7000-02-CORE,10.0.100.210,Standalone,N7K-C7010,JAF1429DSFM,,Cisco,"VDCs: ADMIN, CORE, EDGE, PCI"
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F312FQ-25,JAE191207AJ,10/40 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-SUP2E,JAF1827ARRJ,Supervisor Module-2,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-SUP2E,JAF1827ASAR,Supervisor Module-2,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F312FQ-25,JAE182305LE,10/40 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F312FQ-25,JAE182305MB,10/40 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F248XP-25E,JAF1827AHDM,1/10 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-F248XP-25E,JAF1827AHFT,1/10 Gbps Ethernet Module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANMR,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANRQ,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANRM,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1827ANPS,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,Module,N7K-C7010-FAB-2,JAF1828ANNG,Fabric card module,,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,JFQ202120BB,Transceiver(slot:1-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR-BD,AVM1843U627,Transceiver(slot:1-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,FIW2020004J,Transceiver(slot:1-port:3),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,JFQ202020KE,Transceiver(slot:1-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,JFQ2021205E,Transceiver(slot:1-port:7),,
AZ-Scottsdale-HQ-Corp,,,SFP,QSFP-40G-SR4,AVP1939S3PE,Transceiver(slot:1-port:9),,
