Site Name,WAN Port,Provider,Speed,Circuit Role,Confirmed,Speed Status,Device Tags,Last Updated
CAN 16,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAN 16,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAN 25,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
CAN 25,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
CAN 35,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
CAN 35,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
CAN_00,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAN_00,WAN2,AT&T,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 35,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 35,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS 40,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 40,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS 41,WAN1,Frontier Communications,500.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 41,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS 45,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.644043
CAS 45,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 18:58:22.644043
CAS 46,WAN1,AT&T,20.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS 46,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
CAS_00,WAN1,AT&T,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
CAS_00,WAN2,Cox Communications,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 01,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 03,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 03,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 08,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 08,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 09,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 09,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 13,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 13,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
COD 23,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
COD 23,WAN2,EB2-Lumen DSL,100.0M x 10.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
COD 38,WAN1,CenturyLink,100.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.644171
COD 38,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 18:58:22.644171
COD 41,WAN1,Lumen,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
COD 41,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
Cog 02,WAN1,Comcast,750.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
Cog 02,WAN2,Community Broadband Network,100.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
Desert Ridge,WAN1,Cox Network 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI,100.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
Desert Ridge,WAN2,,,Secondary,False,OK,,2025-07-07 11:46:47.102071
FLJ_00,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
FLJ_00,WAN2,AT&T,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
FLT 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
FLT 02,WAN2,MetroNet,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 01,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 10,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 10,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 12,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 12,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 13,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 13,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 14,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 14,WAN2,AT&T Broadband II,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 15,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 15,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 18,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 18,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 21,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 21,WAN2,"Comcast Cable Communications, LLC",1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 25,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 25,WAN2,AT&T Broadband II,1000.0M x 1000.0M,Secondary,False,OK,,2025-07-07 11:46:54.544083
GAA 27,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 27,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 28,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 28,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA 30,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
GAA 30,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
GAA W00,WAN1,AT&T Broadband II,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
GAA W00,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
GAA_00,WAN1,AT&T,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
GAA_00,WAN2,Comcast,750.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
GAACALLCNTR,WAN1,AT&T,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
GAACALLCNTR,WAN2,Charter Communications,100.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ILC 01,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 01,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 02,WAN1,Comcast Workplace,750.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 02,WAN2,Comcast Workplace,600.0M x 35.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 04,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 04,WAN2,ComcastAgg Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 06,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 06,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 09,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 09,WAN2,AT&T Broadband II,1000.0M x 1000.0M,Secondary,False,OK,,2025-07-07 11:46:54.544083
ILC 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ILC 11,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
ILC 12,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ILC 12,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
ILC 15,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 15,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 18,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 18,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 19,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 19,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 24,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 24,WAN2,AT&T Broadband II,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC 29,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILC 29,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILC_00,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ILC_00,WAN2,AT&T,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ILP 01,WAN1,i3 Broadband,250.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ILP 01,WAN2,Starlink,250.0M x 250.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ILR 01,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ILR 01,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
INI 03,WAN1,AT&T Broadband II,300.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.645105
INI 03,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 18:58:22.645105
INI 05,WAN1,ComcastAgg Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
INI 05,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
INI 09,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
INI 09,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
INI_00,WAN1,DSR Cincinnati Bell ADSL,400.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
INI_00,WAN2,Charter Communications,600.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
INW 01,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
INW 01,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
INW 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
INW 02,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
KSK 01,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
KSK 01,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
KSK_00,WAN1,Charter Communications,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
KSK_00,WAN2,AT&T,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MIA 17,WAN1,D & P Communications,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MIA 17,WAN2,Comcast,1000.0M x 500.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 05,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 05,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 07,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 07,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 09,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 09,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 13,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 13,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 14,WAN1,AT&T Broadband II,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 14,WAN2,Comcast,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 16,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 16,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 17,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 17,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 18,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 18,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 19,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 19,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 24,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 24,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MIF 04,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
