Site Name,WAN Port,Provider,Speed,Circuit Role,Confirmed,Speed Status,Device Tags,Last Updated
MIF 04,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MIF 05,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MIF 05,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MIG 07,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MIG 07,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MIL 15,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MIL 15,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MIW 21,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MIW 21,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MNM 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM 02,WAN2,Starlink,Satellite,Secondary,True,OK,,2025-07-07 11:46:47.102071
MNM 03,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM 03,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MNM 09,WAN1,DSR Comcast,750.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM 09,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MNM 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM 11,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MNM 24,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM 24,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MNM 29,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM 29,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MNM_00,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MNM_00,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MOO 01,WAN1,ComcastAgg CableOne,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MOO 01,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MOO 04,WAN1,Level 3,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MOO 04,WAN2,Verizon,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
MOS_00,WAN1,Charter Communications,750.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MOS_00,WAN2,AT&T,1000.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
NCC 38,WAN1,MetroNet,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.643651
NCC 38,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.643651
NCC 48,WAN1,Brightspeed,300.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.643786
NCC 48,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.643786
NCC_00,WAN1,Charter Communications,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
NCC_00,WAN2,,,Secondary,False,OK,,2025-07-07 11:46:47.102071
NMA 10,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
NMA 10,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
NMA 13,WAN1,Unite Private Networks,300.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.643913
NMA 13,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.643913
NMA_00,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
NMA_00,WAN2,CenturyLink,100.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
NVL 07,WAN1,Cox Communications,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
NVL 07,WAN2,Verizon Business,300.0M x 30.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
NVL 15,WAN1,Cox Business/BOI,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
NVL 15,WAN2,CenturyLink,300.0M x 30.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ORP 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ORP 01,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
ORP 03,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
ORP 03,WAN2,Ziply Fiber,500.0M x 500.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
ORP 05,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
ORP 05,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
TNE 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TNE 01,WAN2,BrightRidge,300.0M x 30.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TNN 02,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TNN 02,WAN2,AT&T Broadband II,1000.0M x 1000.0M,Secondary,False,OK,,2025-07-07 11:46:54.544083
TNN 06,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TNN 06,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TNN 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TNN 11,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TNN_00,WAN1,AT&T,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TNN_00,WAN2,Comcast,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXA 24,WAN1,Spectrum,750.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXA 24,WAN2,"AT&T Enterprises, LLC",600.0M x 35.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXD 71,WAN1,AT&T Broadband II,300.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.644435
TXD 71,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.644435
TXD_00,WAN1,DSR Road Runner BOC | Extended Cable |,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXD_00,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXG 02,WAN1,Consolidated Communications,300.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.645231
TXG 02,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.645231
TXG 03,WAN1,Comcast Workplace,750.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXG 03,WAN2,Starlink,600.0M x 35.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 04,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 04,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 05,WAN1,AT&T Broadband II,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 05,WAN2,Comcast,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 17,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 17,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 24,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 24,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 25,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH 25,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXH 28,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH 28,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXH 34,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 34,WAN2,Starlink,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 41,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 41,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 44,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH 44,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXH 52,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 52,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 55,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 55,WAN2,"Comcast Cable Communications, LLC",1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 56,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 56,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 64,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH 64,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXH 65,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 65,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 70,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH 70,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXH 82,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
TXH 82,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
TXH 86,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH 86,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
TXH_00,WAN1,AT&T,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXH_00,WAN2,Comcast,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXHT00,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
TXHT00,WAN2,Unknown,,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 02,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 07,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
UTS 07,WAN2,DSR Lumen DSL,80.0M x 10.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
UTS 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
UTS 11,WAN2,Centracom,300.0M x 30.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
UTS 15,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 15,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 16,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
UTS 16,WAN2,DSR CLink,100.0M x 10.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
UTS 17,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 17,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 19,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS 19,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS 26,WAN1,Infowest Inc,250.0 M,Primary,True,CORRUPTED,,2025-07-07 18:58:22.643362
UTS 26,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 18:58:22.643362
UTS W01,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS W01,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
UTS W02,WAN1,DSR Comcast Cable,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
UTS W02,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
VAF 01 - appliance,WAN1,Comcast,250.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
VAF 01 - appliance,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
VAR 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
VAR 01,WAN2,VZW Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
VAR_00,WAN1,Comcast,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
VAR_00,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAE 01,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAE 01,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAE 02,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAE 02,WAN2,Verizon Business,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 09,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 09,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 11,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 11,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 14,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 14,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS 23,WAN1,ComcastAgg CLink,10.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS 23,WAN2,Digi,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WAS W00,WAN1,Comcast,200.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WAS W00,WAN2,Digi Cell,Cell,Secondary,True,OK,,2025-07-07 11:46:47.102071
WDTD 01,WAN1,AT&T,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
WDTD 01,WAN2,ATT,100.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
