Site Name,Network Name (Enriched),Enriched WAN1 Provider,Enriched WAN1 Speed,Enriched WAN1 Role,Enriched WAN2 Provider,Enriched WAN2 Speed,Enriched WAN2 Role,Meraki WAN1 IP,Meraki WAN2 IP,Meraki WAN1 ARIN Provider,Meraki WAN2 ARIN Provider,Meraki Notes,DSR Primary Provider,DSR Primary Speed,DSR Primary IP,DSR Secondary Provider,DSR Secondary Speed,DSR Secondary IP
CAN 16,CAN 16,Frontier Communications,500.0 M,Primary,Digi,Cell,Secondary,47.176.225.2,166.184.156.31,Frontier Communications,Unknown,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
Digi
Cell",,,,,,
CAN 25,CAN 25,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.92.113.13,99.3.127.17,Unknown,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,99.3.127.17
CAN 35,CAN 35,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,99.156.67.249,50.255.225.209,AT&T,Comcast,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Comcast
1000.0M x 1000.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,99.156.67.249
CAN_00,CAN_00,Comcast,300.0 M,Primary,AT&T,300.0 M,Secondary,96.81.183.205,108.86.147.217,Comcast,AT&T,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M",,,,,,
CAS 35,CAS 35,Frontier Communications,500.0 M,Primary,VZW Cell,Cell,Secondary,47.176.206.178,192.168.0.151,Frontier Communications,Private IP,WAN 1\nFrontier Communications\n500.0M x 500.0M\nWAN 2\nVZW Cell\nCell,,,,,,
CAS 40,CAS 40,Frontier Communications,500.0 M,Primary,Digi,Cell,Secondary,47.179.21.123,107.84.138.73,Frontier Communications,"AT&T Enterprises, LLC","WAN 1
Frontier Communications
500.0M x 50.0M
WAN 2
Digi
Cell",,,,,,
CAS 41,CAS 41,Frontier Communications,500.0 M,Primary,VZW Cell,Cell,Secondary,47.176.225.10,166.248.9.55,Frontier Communications,Verizon Business,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
VZW Cell
Cell",,,,,,
CAS 45,CAS 45,AT&T Broadband II,1000.0 M,Primary,Digi,Cell,Secondary,162.196.235.249,166.184.158.31,AT&T,AT&T,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Digi
Cell",,,,AT&T Broadband II,1000.0M x 1000.0M,162.196.235.249
CAS 46,CAS 46,AT&T,20.0 M,Primary,VZW Cell,Cell,Secondary,12.111.1.98,166.248.10.66,AT&T,Verizon Business,"WAN 1
AT&T
20.0M x 20.0M
WAN 2
VZW Cell
Cell",,,,,,
CAS_00,CAS_00,AT&T,300.0 M,Primary,Cox Communications,300.0 M,Secondary,76.210.250.113,98.178.226.110,Unknown,Unknown,"WAN 1
AT&T
300.0M x 300.0M
WAN 2
Cox Communications
300.0M x 30.0M",,,,,,
COD 01,COD 01,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,96.78.2.33,166.248.10.6,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business",,,,,,
COD 03,COD 03,Comcast,300.0 M,Primary,Unknown,,Secondary,96.75.122.169,107.80.171.49,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
COD 08,COD 08,Comcast,300.0 M,Primary,Unknown,,Secondary,96.75.124.5,107.80.172.40,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
COD 09,COD 09,Comcast,300.0 M,Primary,Unknown,,Secondary,96.75.102.5,166.248.10.116,Comcast,Verizon Business,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown",,,,,,
COD 13,COD 13,Comcast,300.0 M,Primary,VZW Cell,Cell,Secondary,96.76.170.93,166.248.10.163,Unknown,Verizon Business,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell",,,,,,
COD 23,COD 23,Comcast,300.0 M,Primary,EB2-Lumen DSL,100.0M x 10.0M,Secondary,50.209.236.229,67.40.43.129,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M",,,,EB2-Lumen DSL,100.0M x 10.0M,67.40.43.129
COD 38,COD 38,CenturyLink,100.0 M,Primary,Digi,Cell,Secondary,63.229.225.1,107.80.186.29,CenturyLink,"AT&T Enterprises, LLC","WAN 1
CenturyLink
100.0M x 10.0M
WAN 2
Digi
Cell",,,,CenturyLink/Qwest,100.0M x 10.0M,63.229.225.1
COD 41,COD 41,Lumen,300.0 M,Primary,Verizon Business,Cell,Secondary,65.56.84.242,166.156.147.159,Unknown,Unknown,"WAN 1
Lumen
300.0M x 300.0M
WAN 2
Verizon Business",,,,,,
Cog 02,Cog 02,Comcast,750.0 M,Primary,Community Broadband Network,100.0 M,Secondary,50.198.210.201,74.114.7.176,Comcast,Glenwood Springs Community Broadband Network,"WAN 1
Comcast
750.0M x 35.0M
WAN 2
Community Broadband Network
100.0M x 100.0M",,,,,,
Desert Ridge,Desert Ridge,Cox Network 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI,100.0 M,Primary,,,Secondary,98.175.209.47,12.126.134.78,Cox Communications,AT&T,"WAN 1
Cox Network 500 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI
100.0M x 100.0M",,,,,,
FLJ_00,FLJ_00,Comcast,300.0 M,Primary,AT&T,300.0 M,Secondary,96.76.16.49,99.27.27.113,Comcast,AT&T,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M",,,,,,
FLT 02,FLT 02,Comcast,300.0 M,Primary,MetroNet,300.0M x 300.0M,Secondary,50.252.158.189,46.110.100.229,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
MetroNet
300.0M x 300.0M",,,,MetroNet,300.0M x 300.0M,46.110.100.229
GAA 01,GAA 01,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.73.255.205,75.52.168.161,Comcast,AT&T,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,75.52.168.161
GAA 10,GAA 10,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.195.253.1,96.77.85.21,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.195.253.1
GAA 12,GAA 12,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,104.188.254.185,96.73.252.173,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.188.254.185
GAA 13,GAA 13,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,76.216.69.1,96.77.71.133,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,76.216.69.1
GAA 14,GAA 14,Comcast,300.0 M,Primary,AT&T Broadband II,1000.0M x 1000.0M,Secondary,96.73.252.21,107.130.209.169,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
500.0M x 500.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,107.130.209.169
GAA 15,GAA 15,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.205.233.145,96.77.64.1,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.205.233.145
GAA 18,GAA 18,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,107.130.210.65,96.73.223.85,Unknown,"Comcast Cable Communications, LLC","WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,107.130.210.65
GAA 21,GAA 21,AT&T Broadband II,1000.0 M,Primary,"Comcast Cable Communications, LLC",1000.0M x 1000.0M,Secondary,108.209.103.225,96.73.249.37,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast Cable Communications, LLC",,,,AT&T Broadband II,1000.0M x 1000.0M,108.209.103.225
GAA 25,GAA 25,AT&T Broadband II,1000.0 M,Primary,AT&T Broadband II,1000.0M x 1000.0M,Secondary,162.235.81.185,50.251.137.177,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.235.81.185
GAA 27,GAA 27,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.235.50.185,96.67.122.225,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast",,,,AT&T Broadband II,1000.0M x 1000.0M,162.235.50.185
GAA 28,GAA 28,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.77.72.169,99.8.195.153,Comcast,AT&T,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,99.8.195.153
GAA 30,GAA 30,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,107.216.87.73,96.73.252.169,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,107.216.87.73
GAA W00,GAA W00,AT&T Broadband II,300.0 M,Primary,Digi,Cell,Secondary,45.22.51.193,107.85.128.174,AT&T,AT&T,"WAN 1
AT&T Broadband II
300.0M x 30.0M
WAN 2
Digi
Cell",,,,,,
GAA_00,GAA_00,AT&T,1000.0 M,Primary,Comcast,750.0 M,Secondary,64.109.201.225,173.15.209.109,Unknown,Unknown,"WAN 1
AT&T
1000.0M x 1000.0M
WAN 2
Comcast
750.0M x 35.0M",,,,,,
GAACALLCNTR,GAACALLCNTR,AT&T,300.0 M,Primary,Charter Communications,100.0 M,Secondary,104.184.151.49,47.46.162.82,Unknown,Unknown,"WAN 1
AT&T
300.0M x 300.0M
WAN 2
Charter Communications
100.0M x 30.0M",,,,,,
ILC 01,ILC 01,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,104.12.155.57,96.74.211.233,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.12.155.57
ILC 02,ILC 02,Comcast Workplace,750.0 M,Primary,Comcast Workplace,600.0M x 35.0M,Secondary,96.72.114.241,96.81.226.89,Unknown,Unknown,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Comcast Workplace
750.0M x 35.0M",,,,Comcast Workplace,750.0M x 35.0M,96.81.226.89
ILC 04,ILC 04,AT&T Broadband II,1000.0 M,Primary,ComcastAgg Comcast,1000.0M x 1000.0M,Secondary,108.91.86.37,108.91.86.37,"AT&T Enterprises, LLC","AT&T Enterprises, LLC","WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
ComcastAgg Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,NaN
ILC 06,ILC 06,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,108.91.15.137,74.94.114.85,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,108.91.15.137
ILC 09,ILC 09,Comcast,300.0 M,Primary,AT&T Broadband II,1000.0M x 1000.0M,Secondary,96.74.190.41,104.4.89.113,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.4.89.113
ILC 11,ILC 11,Comcast,300.0 M,Primary,Unknown,,Secondary,96.74.196.161,166.180.159.148,Comcast,Verizon Business,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
ILC 12,ILC 12,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,96.68.37.73,166.246.93.70,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business",,,,,,
ILC 15,ILC 15,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,172.125.39.129,96.74.202.21,Unknown,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast",,,,AT&T Broadband II,1000.0M x 1000.0M,172.125.39.129
ILC 18,ILC 18,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,107.200.191.1,96.74.204.97,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,107.200.191.1
ILC 19,ILC 19,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.229.147.233,96.74.149.133,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.229.147.233
ILC 24,ILC 24,Comcast,300.0 M,Primary,AT&T Broadband II,1000.0M x 1000.0M,Secondary,74.95.111.177,108.223.111.1,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
1000.0M x 1000.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,108.223.111.1
ILC 29,ILC 29,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,107.223.63.169,75.149.203.125,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,107.223.63.169
ILC_00,ILC_00,Comcast,300.0 M,Primary,AT&T,300.0 M,Secondary,96.74.249.185,107.209.6.145,Unknown,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M",,,,,,
ILP 01,ILP 01,i3 Broadband,250.0 M,Primary,Starlink,250.0M x 250.0M,Secondary,140.141.187.98,143.105.115.158,Unknown,Unknown,"WAN 1
i3 Broadband
250.0M x 250.0M
WAN 2
Starlink
Satellite",,,,i3 Broadband,250.0M x 250.0M,140.141.187.98
ILR 01,ILR 01,Comcast,600.0 M,Primary,Unknown,,Secondary,74.94.116.73,107.80.183.106,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
600.0M x 35.0M
WAN 2
Unknown",,,,,,
INI 03,INI 03,AT&T Broadband II,300.0 M,Primary,Digi,Cell,Secondary,76.210.157.221,166.184.105.189,AT&T,"AT&T Enterprises, LLC","WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Digi
Cell",,,,AT&T Broadband II,300.0M x 300.0M,76.210.157.217
INI 05,INI 05,ComcastAgg Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.72.240.254,75.61.116.233,"Comcast Cable Communications, LLC",AT&T,"WAN 1
ComcastAgg Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,75.61.116.233
INI 09,INI 09,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.72.240.229,107.220.40.169,Comcast,AT&T,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,107.220.40.169
INI_00,INI_00,DSR Cincinnati Bell ADSL,400.0 M,Primary,Charter Communications,600.0 M,Secondary,66.42.186.206,71.66.89.90,Unknown,Unknown,"WAN 1
DSR Cincinnati Bell ADSL
400.0M x 200.0M
WAN 2
Charter Communications
600.0M x 35.0M",,,,,,
INW 01,INW 01,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,99.39.182.185,96.74.215.229,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,99.39.182.185
INW 02,INW 02,Comcast,300.0 M,Primary,Digi,Cell,Secondary,96.72.115.9,107.85.135.19,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Digi
Cell",,,,,,
KSK 01,KSK 01,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,104.5.151.241,96.73.43.217,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.5.151.241
KSK_00,KSK_00,Charter Communications,600.0 M,Primary,AT&T,300.0 M,Secondary,150.220.245.70,76.201.157.129,Charter Communications,AT&T,"WAN 1
Charter Communications
600.0M x 35.0M
WAN 2
AT&T
300.0M x 300.0M",,,,,,
MIA 17,MIA 17,D & P Communications,1000.0 M,Primary,Comcast,1000.0M x 500.0M,Secondary,63.143.19.230,173.13.30.249,"D&P Communications, Inc.",Comcast,"WAN 1
D & P Communications
1000.0M x 500.0M
WAN 2
Comcast",,,,D & P Communications,1000.0M x 500.0M,63.143.19.230
MID 05,MID 05,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,108.85.101.97,96.80.239.129,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 25.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,108.85.101.97
MID 07,MID 07,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,108.224.190.33,75.145.237.101,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,108.224.190.33
MID 09,MID 09,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,99.95.104.17,96.76.241.73,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,99.95.104.17
MID 13,MID 13,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,104.59.8.253,96.76.233.165,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.59.8.249
MID 14,MID 14,AT&T Broadband II,300.0 M,Primary,Comcast,300.0M x 300.0M,Secondary,76.227.245.41,96.75.39.45,AT&T,Comcast,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,300.0M x 300.0M,76.227.245.41
MID 16,MID 16,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,104.59.15.185,96.92.62.81,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.59.15.185
MID 17,MID 17,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,71.150.237.33,96.76.232.101,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,71.150.237.33
MID 18,MID 18,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.70.103.113,23.123.121.129,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,23.123.121.129
